Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	28451	870.94	33069	33079	33121	-1	0	33030	33238	33121	2.1729E+07	211.3	74	1.848E+09	8.6955E+06	102828	676879	2065	1.8413E+09	33126	32.9	0.1021	0.2494	14
485810	28452	512.63	33069	33080	33069	-1	0	33069	33134	33069	2.0906E+06	2.333	27	6.8633E+07	1.5203E+06	896301	4.78E+06	2075	9.2341E+07	33067	14.8	0.1192	0.3901	5
485810	28453	451.79	33069	33081	33355	28615	0	32939	33238	33134	1.7558E+07	31.4	13	3.831E+08	598790	559096	2.58E+06	4159	2.9178E+08	33140	23.3	0.001218	0.3133	10
485810	28454	650.77	33082	33083	33108	-1	0	32923	33355	33108	1.4145E+07	46.9	114	1.6406E+09	1.2578E+07	301596	1.22E+06	2065	1.5594E+09	33113	41.1	0.059	0.2353	16
485810	28455	741.72	33082	33084	33069	-1	0	32978	33160	33069	1.0249E+07	67.76	27	5.1158E+08	5.4918E+06	151262	836400	4151	4.8999E+08	33065	28.8	-0.04079	0.2777	12
485810	28456	585.03	33082	33085	33147	-1	0	32939	33422	33147	1.0022E+08	155.1	94	9.5145E+09	3.6924E+07	645981	4.49E+06	4164	9.2066E+09	33140	34.1	-0.01487	0.2534	14
485810	28457	626.36	33082	33086	33134	-1	0	32923	33381	33134	1.6366E+07	5.885	91	2.3168E+09	9.9936E+06	2.7809E+06	1.21E+07	4157	1.3195E+09	33151	51.3	0.9878	0.6195	20
485810	28458	443.53	33082	33087	33147	-1	0	32952	33251	33147	3.105E+07	64.79	59	2.6813E+09	1.1415E+07	479280	2.2E+06	4144	2.574E+09	33140	31.3	-0.1356	0.2688	13
485810	28459	713.93	33082	33088	31637	27089	0	32923	33383	33121	9.9948E+06	64.74	102	1.2446E+09	8.9084E+06	154383	789714	2072	1.0348E+09	33125	38.8	0.1448	0.2353	16
485810	28460	464.28	33082	33089	33134	-1	0	32991	33264	33134	4.3203E+06	4.718	109	4.6517E+08	2.7532E+06	915779	2.58E+06	4147	2.9329E+08	33130	33.1	0.05034	0.2821	13
485810	28461	447.79	33082	33090	33147	-1	0	32978	33251	33147	1.3933E+07	52.29	61	1.1508E+09	3.822E+06	266479	1.75E+06	4170	1.0786E+09	33147	29.7	-0.2175	0.2788	12
485810	28462	510.82	33082	33091	33147	-1	0	32952	33461	33147	7.7332E+07	216.9	81	6.9224E+09	2.3537E+07	356459	1.86E+06	4153	6.652E+09	33147	32.1	-0.002549	0.2604	13
485810	28463	797.43	33082	33092	33147	-1	0	32936	33544	33147	2.1361E+07	22.63	111	2.5703E+09	1.2963E+07	943877	4.07E+06	4168	2.1016E+09	33145	46.3	0.1776	0.2233	18
