Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
141805	6281	34.58535	2	133455	15541	1018.4808	289.6	270	1059
141805	6282	34.59032	2	122915	3742.2	776.0919	75.37	284	931
141805	6283	34.59557	2	280334	13572	1123.335	122.5	275	905
141805	6284	34.60031	2	164202	5508.6	744.1728	83.26	359	1266
141805	6285	34.60541	2	94391	2220.2	1321.8729	55	304	1076
141805	6286	34.61105	2	14286	1620.9	432.2883	123.5	120	410
141805	6287	34.61727	2	60932	3006	993.5152	100.9	273	959
141805	6288	34.62291	2	34962	923.04	1505.553	47.63	281	1075
141805	6289	34.62877	2	136762	6399.8	1219.5912	124.1	298	1094
141805	6290	34.63364	1	3.1125E+07	1.0622E+06	1193.3029	70.95	1092	1092
141805	6291	34.63984	2	390026	23434	1299.8856	195.4	356	1224
141805	6292	34.64463	2	888446	35117	1296.3207	147.9	311	1111
141805	6293	34.64911	2	246846	13820	1192.8846	171	309	1094
141805	6294	34.65385	2	78547	650.29	1221.7286	16.58	318	1207
141805	6295	34.65921	2	193030	19978	1182.3765	236.2	292	1045
141805	6296	34.66411	2	23264	414.65	1060.0298	22.38	185	748
141805	6297	34.67002	2	61791	5602.6	1174.2927	202.9	252	963
141805	6298	34.67561	2	152369	6857.3	666.3387	73.52	156	594
141805	6299	34.68037	2	85099	3691.1	993.4727	93.14	268	995
141805	6300	34.68571	2	181058	13884	1219.5872	214.1	237	1005
141805	6301	34.69044	1	3.1861E+07	895800	1193.3656	56.73	1137	1137
141805	6302	34.69621	2	623241	20798	1296.3309	147.2	357	1257
141805	6303	34.70085	2	298212	14588	1299.6959	105.5	289	995
141805	6304	34.70549	2	84587	3084	1193.0984	79.52	264	1042
141805	6305	34.71058	2	45303	1195.7	1505.7714	53.18	278	1117
141805	6306	34.71631	2	82127	1709.3	1267.3755	38.76	294	1120
141805	6307	34.7215	2	46062	961.42	991.6206	44.46	320	1196
141805	6308	34.72749	2	15915	402.59	1547.0032	34.24	192	793
141805	6309	34.73346	2	70479	1416.7	1621.6324	50.93	318	1205
141805	6310	34.73915	2	119876	3204.8	805.1055	51.18	261	884
141805	6311	34.74419	2	75634	1933	1090.0463	54.47	323	1200
141805	6312	34.74956	1	3.1347E+07	603564	1099.5067	38.21	1141	1141
141805	6313	34.75564	2	626028	30609	1398.8828	192.9	391	1417
141805	6314	34.76045	2	99198	3182.8	1097.1648	48.84	186	652
141805	6315	34.76529	2	68060	1786.2	1184.2428	56.76	287	1043
141805	6316	34.77087	2	25044	296.15	1179.5521	20.17	262	985
141805	6317	34.77689	2	150842	9611.9	1240.8064	178.5	379	1260
141805	6318	34.78227	2	25658	429.06	1682.3668	27.61	244	950
141805	6319	34.78831	2	159628	4781.6	1219.7638	77.14	350	1124
141805	6320	34.79339	2	52793	743.48	743.4622	30.19	335	1171
141805	6321	34.79916	2	52994	1289.9	1066.8073	51.65	276	1179
141805	6322	34.80487	2	48175	702.05	1551.6744	29.46	301	1169
141805	6323	34.81082	1	3.1130E+07	902326	1099.395	60.29	1102	1102
141805	6324	34.81731	2	68750	4059.7	993.5413	129.9	280	956
141805	6325	34.82286	2	108619	5856.4	1313.1273	129.5	319	1170
141805	6326	34.82808	2	101142	2766.4	1122.0239	43.43	215	786
141805	6327	34.83296	2	58380	1671.5	1200.0454	56.13	266	981
141805	6328	34.83842	2	102429	2389.4	894.0981	50.31	317	1135
141805	6329	34.8438	2	68643	1552.3	904.6517	56.05	362	1259
141805	6330	34.84987	2	85131	12279	1146.4595	363.8	298	1044
141805	6331	34.85508	2	43895	3116.2	1126.0347	145	288	1104
141805	6332	34.86108	2	50221	776.98	948.5529	32.03	320	1203
141805	6333	34.86713	2	78843	1582	922.8018	31.73	239	883
141805	6334	34.87217	1	3.0487E+07	1.1982E+06	1099.4685	80.22	1100	1100
141805	6335	34.87848	2	45185	867.39	958.0857	37.02	300	1120
141805	6336	34.88456	2	259632	6781.3	1433.2922	64.28	284	1053
141805	6337	34.88929	2	186023	4674.5	1268.5974	70.44	336	1132
141805	6338	34.89423	2	22088	421.89	1227.4054	29.17	235	856
141805	6339	34.90024	2	358958	8329.7	831.5148	55.9	283	989
141805	6340	34.90493	2	62268	1213.7	1370.5826	27.01	215	767
141805	6341	34.91003	2	59650	1307.8	1621.4575	51.01	343	1278
141805	6342	34.91574	2	74174	1712.9	979.5529	49.38	319	1176
141805	6343	34.92125	2	30936	502.87	912.6697	24.54	226	899
141805	6344	34.92704	2	51121	611.93	1106.2546	20.58	283	1098
141805	6345	34.93247	1	3.3021E+07	2.0653E+06	1099.3574	135.2	1141	1141
141805	6346	34.93825	2	157840	13675	982.6981	291.1	327	1060
141805	6347	34.94371	2	239793	4793.1	687.6659	49.12	302	1061
141805	6348	34.9485	2	146394	2866.8	1338.4858	44.83	319	1161
141805	6349	34.95352	2	117063	4338.1	1148.3568	87.43	296	1185
141805	6350	34.95871	2	72085	10318	1145.7852	352.2	288	1064
141805	6351	34.96408	2	58690	1234.9	1367.4869	36.35	260	944
141805	6352	34.96948	2	90474	1473.9	1103.6814	35.84	345	1205
141805	6353	34.97487	2	73569	691.82	948.4651	19.13	325	1155
141805	6354	34.98024	2	75163	1100.9	1054.9133	30.49	318	1225
141805	6355	34.98569	2	75482	2929.4	1163.5211	75.55	272	976
141805	6356	34.99089	1	2.9907E+07	1.1739E+06	1099.5879	83.84	1114	1114
141805	6357	34.99673	2	48470	5464.3	1180.4922	312.2	212	733
141805	6358	35.00262	2	96459	7960.6	1180.3474	204	231	860
141805	6359	35.00785	2	357245	12105	814.4544	89.34	290	970
141805	6360	35.01255	2	57562	1599.4	985.8927	61.67	336	1174
141805	6361	35.0186	2	50998	1362.5	1365.4457	51.41	309	1186
141805	6362	35.02448	2	91807	1812.4	1146.9755	45.38	294	1063
141805	6363	35.02986	2	150800	1937.1	1465.6893	29.95	317	1100
141805	6364	35.03488	2	114020	1351.5	1251.3929	24.14	316	1170
141805	6365	35.03999	2	21686	491.29	1552.6545	36.27	212	924
141805	6366	35.04594	2	167173	14004	894.6196	239.8	321	1109
141805	6367	35.05099	1	2.8180E+07	1.2890E+06	1099.1826	88.62	1111	1111
141805	6368	35.05662	2	675761	24037	814.4993	124.2	314	1021
141805	6369	35.06123	2	161093	6708.6	1309.5481	96.99	275	1110
141805	6370	35.06614	2	133964	1891.8	877.7682	32.89	312	1087
141805	6371	35.07117	2	508440	30184	1399.3516	171.8	352	1178
141805	6372	35.07579	2	56606	840.12	974.1375	21.74	235	907
141805	6373	35.08121	2	12978	158.22	857.7601	12.12	160	594
141805	6374	35.08707	2	68993	1726.5	829.4437	46.86	264	953
141805	6375	35.09243	2	76983	1213.6	830.6334	30.07	267	946
141805	6376	35.09777	2	166863	5212.1	1329.8037	89.47	293	1084
141805	6377	35.10281	2	135138	2181.6	1102.3545	37.09	338	1144
141805	6378	35.10786	1	2.9799E+07	970810	1099.3093	60.79	1100	1100
141805	6379	35.11354	2	98530	6735.1	853.3447	85.01	107	351
141805	6380	35.1183	2	68324	4585.9	1009.9855	148.3	225	871
141805	6381	35.12368	2	23076	905.77	1545.9329	63.02	204	804
141805	6382	35.12963	2	77996	1955.1	1053.2781	54.3	303	1078
141805	6383	35.13518	2	50345	3061.6	1763.7623	137.6	294	1131
141805	6384	35.14098	2	48148	676.58	1112.6097	30.46	311	1051
141805	6385	35.14709	2	121462	8695	1174.9896	195.8	305	1100
141805	6386	35.15247	2	82851	2764.4	1148.3743	69.35	305	1121
